11.9,0
12.1,10
12.1,23
12.2,1
12.3,6
12.6,7
12.7,3
12.7,34
12.8,11
12.9,17
12.9,35
13.0,13
13.1,12
13.1,20
13.1,26
13.1,32
13.3,15
13.3,28
13.3,30
13.4,18
13.5,27
13.5,36
13.5,38
13.5,39
13.6,9
13.6,33
13.8,31
14.2,19
15.1,8
20.4,4
22.1,16
22.4,39
22.6,5
22.7,22
22.9,35
23.1,3
23.2,27
23.2,30
23.3,14
23.3,37
23.5,7
23.7,11
23.8,2
23.8,12
24.4,29
24.7,1
26.0,17
26.2,23
28.8,31
29.1,32
29.2,15
29.5,9
29.5,19
29.7,8
30.1,26
30.9,36
31.4,6
32.6,25
33.3,10
33.3,30
33.5,33
34.7,3
34.7,24
35.6,12
35.6,16
35.6,19
36.7,38
37.1,1
37.7,28
38.0,11
38.5,17
38.6,13
38.6,29
38.6,37
38.7,36
39.1,8
39.1,27
39.3,7
39.4,35
39.7,5
39.7,23
41.0,31
41.7,22
42.2,9
42.9,39
43.9,26
44.3,30
44.4,15
44.9,16
45.0,32
45.4,17
45.9,3
46.3,14
47.1,36
48.3,6
48.5,4
48.6,29
48.8,10
49.4,31
49.7,8
50.3,11
50.4,30
50.6,33
50.8,12
52.7,5
52.9,19
54.1,37
54.2,7
54.8,1
54.8,38
55.0,27
56.0,23
56.3,9
56.5,2
56.5,20
56.6,21
56.9,39
57.0,0
57.6,16
57.6,32
57.6,36
57.8,11
57.8,17
58.1,26
58.1,28
59.0,10
59.0,15
59.2,31
59.6,25
59.8,35
60.1,3
60.2,22
60.4,30
62.4,19
63.8,12
64.4,1
64.5,8
65.6,33
66.4,24
66.7,13
66.7,29
68.1,23
68.1,27
69.1,6
69.5,38
70.7,7
70.9,4
71.1,11
71.1,16
71.5,5
71.9,10
72.1,35
72.5,36
72.7,37
74.6,39
74.7,31
74.8,30
75.2,19
75.3,8
75.8,3
75.9,2
76.2,12
76.8,17
77.1,22
78.1,29
78.7,9
78.7,15
79.5,27
80.4,33
80.4,37
80.7,32
81.0,1
81.5,11
81.8,28
82.5,23
83.2,14
83.2,26
83.6,36
83.7,30
83.8,5
84.9,3
84.9,19
85.2,13
86.0,24
86.1,21
88.2,8
88.2,34
88.3,17
88.6,35
89.7,1
89.7,16
89.7,38
89.8,9
89.8,31
89.9,10
90.0,2
90.0,6
90.7,22
90.9,15
91.2,12
91.3,32
91.4,29
92.1,30
92.4,27
92.9,19
94.3,11
94.6,4
94.9,39
95.8,25
96.8,36
96.9,33
97.1,8
97.2,37
97.5,7
98.6,23
99.5,20
100.2,11
100.5,3
100.9,19
101.1,24
101.2,27
102.5,13
103.4,17
104.4,5
104.5,1
104.5,12
105.4,15
105.4,30
106.0,6
106.1,8
106.8,26
107.1,31
107.2,9
107.2,16
107.2,29
107.3,22
107.4,35
107.5,32
107.6,10
108.2,19
110.9,28
111.6,24
111.9,37
112.1,14
112.2,3
112.5,23
112.5,27
112.7,4
113.3,17
113.5,36
113.5,39
116.7,38
117.3,7
117.3,30
117.4,11
117.4,13
118.4,33
119.1,21
119.7,19
120.7,31
120.9,12
122.5,3
123.4,6
123.5,15
123.7,36
123.8,4
124.0,8
124.1,29
124.6,23
125.1,37
125.2,17
125.2,5
125.4,39
125.6,16
125.7,2
125.7,14
125.7,20
125.8,25
126.0,22
126.1,9
126.2,1
126.2,38
126.2,32
126.4,26
126.6,19
127.4,30
128.1,11
128.1,27
129.1,10
132.4,13
132.7,8
132.8,31
132.8,35
133.0,33
133.5,7
134.0,24
134.6,25
136.0,23
136.5,15
137.2,19
137.8,17
138.3,36
139.1,32
139.7,4
140.0,3
140.0,12
140.0,28
140.2,1
140.3,30
140.6,29
141.1,37
141.2,27
141.3,22
142.3,34
142.4,5
142.5,16
142.6,8
143.2,9
144.6,11
146.5,6
148.9,10
148.9,35
149.6,23
149.9,19
149.9,39
150.4,27
150.4,36
150.4,13
150.4,24
150.4,31
151.3,8
151.4,38
151.4,0
151.4,30
153.1,26
153.7,33
153.9,5
154.0,1
154.6,3
154.6,17
154.8,11
154.8,15
155.0,2
155.2,19
155.4,20
155.6,12
155.6,27
155.7,7
156.0,9
156.2,25
156.4,31
158.5,37
159.2,32
160.1,14
160.7,30
160.7,39
160.8,4
161.7,22
161.9,21
162.3,23
162.8,29
163.1,16
163.9,28
164.0,35
164.2,8
164.9,3
165.0,15
165.4,38
166.1,12
166.6,33
166.8,19
167.2,34
167.3,5
167.9,23
168.0,1
168.2,13
169.3,30
169.3,36
169.6,17
170.4,9
170.7,26
171.4,11
171.8,27
173.6,31
174.6,2
174.8,37
174.9,10
175.6,19
176.2,8
176.8,7
177.0,36
178.0,15
178.0,16
178.4,29
179.1,3
179.4,32
179.9,4
180.0,25
180.3,1
180.8,12
180.8,22
180.8,30
180.9,0
181.0,6
181.9,5
182.5,35
182.7,27
183.0,36
183.7,39
185.0,23
185.5,11
185.7,9
185.8,28
186.1,7
187.2,10
187.2,24
187.3,13
187.4,8
187.4,15
187.4,17
187.8,19
187.9,31
188.3,12
189.3,26
189.5,30
189.7,5
190.1,20
191.3,3
192.0,37
192.3,36
194.3,19
194.3,32
195.0,1
195.0,17
196.0,29
196.2,23
196.7,8
196.7,14
196.9,38
197.8,16
197.9,11
197.9,33
198.0,30
198.2,6
199.1,21
199.1,27
201.6,4
202.0,37
202.5,35
202.5,36
203.3,3
203.6,12
204.4,31
205.0,30
205.5,19
205.8,15
205.9,17
205.9,34
206.2,22
206.7,8
207.9,10
208.3,23
208.6,7
208.6,39
208.6,9
208.9,2
208.9,16
209.0,25
209.2,1
210.9,32
211.1,36
212.1,31
212.2,11
212.2,19
213.1,29
213.1,37
213.5,27
213.7,5
214.0,13
214.3,30
214.7,28
215.6,24
215.7,20
217.1,3
217.8,4
217.9,7
217.9,23
218.0,8
218.5,33
221.1,39
221.9,12
222.0,22
222.0,32
222.1,15
222.1,26
222.7,35
223.0,19
223.2,36
223.3,31
223.6,38
224.4,34
224.5,29
224.8,9
225.6,27
225.8,30
226.6,6
226.7,1
226.7,10
228.5,3
228.7,14
228.7,17
229.2,11
229.7,8
230.7,19
231.1,37
231.7,16
232.4,0
233.5,36
233.6,12
233.7,23
234.4,22
234.4,31
235.2,13
235.4,4
235.8,1
236.5,32
236.6,30
237.6,5
237.8,7
237.8,15
238.5,21
239.3,2
239.3,39
239.5,19
239.9,9
239.9,20
240.0,3
240.1,11
240.8,27
242.0,29
242.2,25
242.4,8
243.5,30
243.5,33
243.6,17
245.1,12
245.2,37
245.9,10
246.5,6
246.7,26
247.8,35
248.1,19
248.4,28
248.6,16
248.9,23
249.1,31
249.8,1
249.8,14
250.4,8
250.4,9
250.7,11
250.7,15
250.9,34
250.9,27
252.4,2
254.3,38
254.5,32
254.7,29
254.9,30
255.1,33
255.3,36
255.9,12
256.1,3
256.9,17
257.4,19
257.9,13
258.6,35
258.9,39
259.4,5
259.6,22
260.0,11
260.0,26
260.3,15
261.4,31
262.1,1
262.6,4
263.5,6
263.5,7
263.8,27
263.9,8
264.4,37
264.5,25
265.0,20
265.8,16
266.3,28
266.6,29
266.6,12
266.9,19
267.1,30
267.1,39
267.4,34
267.5,17
267.7,23
267.9,36
268.4,9
270.8,27
271.8,15
274.5,3
274.7,5
274.7,8
274.7,35
274.9,22
276.1,38
276.3,32
276.4,31
276.4,33
276.5,10
276.7,24
277.1,23
277.4,11
277.5,36
277.6,19
277.9,29
278.5,30
278.7,13
278.9,39
279.6,1
281.2,7
283.0,37
283.1,9
283.1,31
283.7,12
283.7,17
283.9,4
284.0,19
284.1,2
284.1,26
284.4,8
285.5,32
285.8,15
286.8,27
287.0,6
287.0,33
287.3,11
288.3,23
288.5,1
290.4,3
290.5,30
292.3,16
293.0,13
293.7,5
293.7,25
294.3,35
294.5,36
295.0,0
295.1,12
296.2,8
296.2,15
296.5,10
296.6,39
296.8,9
296.9,31
297.0,22
297.4,19
297.4,29
298.2,17
298.2,26
299.8,1
300.3,14
300.3,20
300.4,27
300.6,21
300.8,6
300.9,30
301.1,11
301.6,7
301.6,32
302.8,37
303.3,34
303.5,19
303.9,36
304.1,23
306.2,33
306.7,31
307.8,28
308.4,35
308.6,3
308.9,5
309.0,16
309.8,38
309.9,8
310.1,30
311.0,17
311.4,24
311.7,27
312.3,10
312.4,13
313.2,9
313.9,4
313.9,12
314.1,11
315.5,19
316.3,7
316.3,36
316.8,29
317.4,0
317.4,22
317.4,39
318.0,30
318.1,1
318.3,15
318.6,6
319.2,5
319.4,34
320.0,37
320.7,8
320.8,23
320.8,31
321.4,32
321.5,11
322.2,25
322.9,2
323.4,33
323.5,27
324.0,13
324.6,3
324.8,19
326.0,7
326.9,14
326.9,35
327.0,4
327.1,10
327.3,17
327.3,22
327.3,29
327.4,9
327.5,16
327.8,28
328.0,38
328.1,12
328.1,21
328.1,36
328.3,26
328.4,30
328.9,32
330.4,8
331.5,37
333.1,1
333.9,27
334.0,23
336.0,11
336.1,24
336.7,19
336.8,15
338.1,12
338.2,17
339.0,29
340.7,30
340.8,39
341.0,22
341.1,3
341.5,31
341.6,20
342.0,27
342.3,16
342.5,10
343.0,36
343.5,8
343.7,5
343.9,11
344.1,6
344.2,33
344.5,4
345.5,9
345.6,37
345.6,38
346.1,13
346.8,7
347.0,19
347.1,14
347.4,1
347.9,15
348.0,17
348.6,32
348.8,29
348.8,30
348.9,23
349.9,39
350.0,35
351.6,8
352.0,36
354.3,28
355.1,12
356.2,16
356.4,30
356.7,2
356.8,26
357.1,31
357.1,36
357.2,5
358.0,11
358.5,19
358.7,3
358.7,27
360.4,17
361.6,1
362.5,22
363.4,6
363.7,38
363.8,10
363.8,29
363.9,7
363.9,9
363.9,21
363.9,20
364.5,30
