11.0,37
11.3,32
12.2,0
12.2,5
12.6,3
12.7,9
12.9,16
13.2,36
13.3,21
13.5,12
13.6,26
13.7,34
13.9,24
13.9,35
14.1,27
14.2,8
14.2,14
14.2,39
14.7,28
14.8,33
14.9,25
15.1,18
17.1,10
17.8,13
19.0,30
19.6,17
19.8,0
21.1,3
21.1,19
21.8,7
22.2,2
22.3,11
22.3,26
22.9,23
22.9,38
23.2,24
23.4,8
23.4,6
24.9,28
25.0,13
25.1,16
25.5,27
25.7,18
25.9,10
26.2,1
26.8,31
27.0,25
27.8,4
27.9,36
29.3,39
29.8,35
30.6,0
31.3,17
31.5,3
31.5,29
31.6,23
32.1,22
33.1,19
35.3,8
35.7,26
36.8,2
37.5,13
37.7,12
37.9,16
38.5,11
38.9,24
39.0,28
39.1,20
39.3,25
39.4,18
39.4,37
40.1,10
40.5,0
40.6,30
42.1,5
42.4,33
42.5,23
42.8,3
43.0,14
43.4,6
43.4,26
44.7,19
45.0,17
45.4,39
45.7,8
45.9,31
46.3,2
47.1,7
48.0,22
48.1,13
48.4,25
49.1,4
49.3,24
50.6,18
50.7,10
50.9,35
50.9,36
51.0,30
51.1,16
52.4,0
54.4,34
55.4,3
55.6,39
56.1,12
56.4,26
57.1,23
57.3,2
57.5,6
58.2,8
58.7,25
59.6,28
59.6,31
59.9,19
60.7,13
61.0,29
61.5,16
61.7,24
61.8,18
61.8,33
62.9,38
63.5,0
63.6,10
64.1,3
64.4,5
65.1,11
65.3,17
65.4,37
66.5,23
67.0,14
67.4,27
68.1,2
68.1,7
68.1,35
68.4,8
68.6,26
69.7,9
69.7,25
70.8,19
71.1,1
72.4,4
73.0,39
73.1,12
73.1,13
73.4,30
74.6,33
75.5,16
75.7,22
77.0,11
77.2,10
77.2,20
77.4,18
77.5,8
78.1,6
78.1,31
78.5,0
79.5,28
79.8,35
80.1,3
80.3,36
80.5,26
80.6,17
81.2,23
81.8,24
81.8,39
82.0,25
83.0,34
83.4,5
83.4,27
83.7,2
85.6,13
87.4,8
87.5,3
87.7,29
87.7,37
87.8,19
88.1,4
88.3,11
88.8,16
89.4,1
90.0,23
90.2,10
90.2,12
90.5,24
91.6,39
91.7,26
94.3,13
94.6,18
94.9,0
95.2,2
95.3,30
95.3,25
95.6,6
96.3,38
96.4,14
96.9,28
97.7,31
98.0,35
98.3,3
100.7,5
102.2,17
102.4,8
103.6,12
104.5,16
104.7,19
105.0,6
105.0,26
105.1,33
105.5,24
105.8,10
106.7,18
106.8,4
107.2,2
107.2,32
107.5,0
108.0,39
108.1,23
108.2,13
108.3,28
109.0,3
109.6,25
110.4,36
111.7,22
112.0,14
112.0,37
112.5,8
113.1,16
113.3,15
113.8,20
114.7,35
115.0,26
115.6,0
115.6,11
115.8,1
116.2,17
116.3,21
116.4,13
116.5,30
116.6,31
116.7,19
117.1,9
117.2,2
117.2,18
118.3,25
119.4,3
119.4,10
119.9,5
120.6,39
121.2,24
121.4,12
123.0,23
123.9,7
124.2,8
124.2,29
124.3,31
124.4,28
124.8,6
124.8,26
125.0,2
125.0,22
125.8,16
125.8,35
126.2,11
126.7,36
128.7,34
128.9,13
129.4,14
129.5,4
129.5,3
129.5,33
129.9,0
130.6,25
131.2,10
131.5,17
132.0,19
132.9,24
133.5,30
134.0,23
134.2,20
134.4,39
134.9,2
134.9,35
135.0,27
135.1,18
135.7,16
136.0,13
136.1,37
136.3,26
136.3,8
137.0,28
137.3,25
138.1,31
139.9,10
141.1,19
141.6,3
142.0,11
142.7,0
143.6,4
143.6,17
144.2,12
144.6,22
144.9,13
145.0,39
145.2,24
145.5,35
145.9,18
147.0,26
147.2,1
148.4,16
148.8,6
149.0,2
149.3,14
150.1,10
150.6,23
150.7,29
151.4,25
151.6,8
152.4,18
152.4,28
153.2,33
153.8,31
154.0,19
154.2,5
154.5,3
154.8,17
154.9,37
155.0,39
156.1,24
156.2,38
156.5,0
157.3,13
158.1,16
158.9,11
158.9,12
159.4,4
159.9,26
159.9,35
160.3,8
162.0,10
162.1,2
162.5,25
163.9,20
164.4,24
165.7,3
165.7,23
165.9,18
167.1,16
167.5,1
167.9,13
167.9,31
168.1,30
168.2,0
169.5,34
169.6,19
169.8,28
170.4,27
170.8,8
171.3,26
171.4,10
172.7,6
173.3,29
173.4,11
173.4,25
173.8,14
174.0,12
175.0,9
175.1,13
175.4,36
175.4,37
175.5,39
176.1,18
176.6,22
177.3,2
177.4,17
178.1,35
179.8,33
180.4,24
181.0,28
181.1,26
181.2,20
181.2,31
181.4,19
181.7,4
182.3,0
182.3,15
182.4,5
182.4,8
182.5,10
182.5,23
183.3,25
183.7,3
185.5,1
185.8,16
185.9,13
186.2,18
186.5,17
187.7,0
188.7,6
189.1,14
189.6,30
190.2,7
190.3,39
190.4,2
191.5,24
191.9,35
192.1,23
192.2,19
192.2,36
192.5,38
192.7,8
192.8,13
193.0,10
193.6,26
193.9,27
194.1,12
194.2,3
194.2,11
194.9,29
195.3,31
195.4,37
195.9,25
197.2,16
197.9,28
198.0,0
199.0,9
200.0,26
201.0,22
201.4,24
202.2,4
202.7,13
202.8,39
202.8,18
203.9,12
203.9,35
204.3,10
204.3,33
204.4,16
204.5,23
205.1,2
206.6,3
206.9,17
207.0,14
207.6,25
207.8,8
207.9,6
208.0,30
